source_file,constraint_name,from_table,from_columns,to_table,to_columns,match_type
dbo.ACCOUNT.sql,FKEY9407,ACCOUNT,CURRENCY_ID,CURRENCY,ID,ALTER_TABLE_FK
dbo.ACCOUNTING_ENTITY.sql,FK_ACC_ENTITY_CNTRY,ACCOUNTING_ENTITY,CALENDAR_ID,FINANCIAL_CALENDAR,ID,ALTER_TABLE_FK
dbo.ACCOUNTING_ENTITY.sql,FK_ACC_ENTITY_CNTRY,ACCOUNTING_ENTITY,COUNTRY_ID,COUNTRY,ID,ALTER_TABLE_FK
dbo.ACCOUNT_AT_NATIVE.sql,FKEY9409,ACCOUNT_AT_NATIVE,CURRENCY_ID,CURRENCY,ID,ALTER_TABLE_FK
dbo.ACCOUNT_BALANCE.sql,FKEY0014,ACCOUNT_BALANCE,CURRENCY_ID,CURRENCY,ID,ALTER_TABLE_FK
dbo.ACCOUNT_BALANCE.sql,FKEY0014,ACCOUNT_BALANCE,SITE_ID,SITE,ID,ALTER_TABLE_FK
dbo.ACCOUNT_BAL_DIM.sql,FK_ACCTBALDIM_CURR,ACCOUNT_BAL_DIM,CURRENCY_ID,CURRENCY,ID,ALTER_TABLE_FK
dbo.ACCOUNT_BAL_DIM.sql,FK_ACCTBALDIM_CURR,ACCOUNT_BAL_DIM,SITE_ID,SITE,ID,ALTER_TABLE_FK
dbo.ACCOUNT_BUDGET.sql,FKEY9501,ACCOUNT_BUDGET,ACCOUNT_ID,ACCOUNT,ID,ALTER_TABLE_FK
dbo.ACCOUNT_BUDGET.sql,FKEY9503,ACCOUNT_BUDGET,BUDGET_CODE,BUDGET_CODE,ID,ALTER_TABLE_FK
dbo.ACCOUNT_BUDGET.sql,FKEY9502,ACCOUNT_BUDGET,BUDGET_TYPE,BUDGET_TYPE,id,ALTER_TABLE_FK
dbo.ACCOUNT_BUDGET.sql,FKEY9504,ACCOUNT_BUDGET,CURRENCY_ID,CURRENCY,ID,ALTER_TABLE_FK
dbo.ACCOUNT_BUDGET.sql,FKEY9501,ACCOUNT_BUDGET,SITE_ID,SITE,ID,ALTER_TABLE_FK
dbo.ACCOUNT_CHG_LOG.sql,FK_ACCTCHGLOG_00,ACCOUNT_CHG_LOG,ACCOUNT_ID,ACCOUNT,ID,ALTER_TABLE_FK
dbo.ACCOUNT_GROUP.sql,FKEY0190,ACCOUNT_GROUP,ACCOUNT_ID,ACCOUNT,ID,ALTER_TABLE_FK
dbo.ACCOUNT_PROFILE.sql,FKEY9500,ACCOUNT_PROFILE,ACCOUNT_ID,ACCOUNT,ID,ALTER_TABLE_FK
dbo.ACCOUNT_SITE.sql,FK_ACCT_SITE_ACCT,ACCOUNT_SITE,ACCOUNT_ID,ACCOUNT,ID,ALTER_TABLE_FK
dbo.ACCOUNT_SITE.sql,FK_ACCT_SITE_ACCT,ACCOUNT_SITE,SITE_ID,SITE,ID,ALTER_TABLE_FK
dbo.ADJUSTMENT_DETAIL.sql,FKEY9009,ADJUSTMENT_DETAIL,CURRENCY_ID,CURRENCY,ID,ALTER_TABLE_FK
dbo.ADJUSTMENT_DETAIL.sql,FKEY9009,ADJUSTMENT_DETAIL,TRANSACTION_ID,INVENTORY_TRANS,TRANSACTION_ID,ALTER_TABLE_FK
dbo.ADJUSTMENT_DIST.sql,FKEY0198,ADJUSTMENT_DIST,CURRENCY_ID,CURRENCY,ID,ALTER_TABLE_FK
dbo.ADJUSTMENT_DIST.sql,FKEY0011,ADJUSTMENT_DIST,GL_ACCOUNT_ID,ACCOUNT,ID,ALTER_TABLE_FK
dbo.ADJUSTMENT_DIST.sql,FK_ADJDST_BATCH,ADJUSTMENT_DIST,SITE_ID,SITE,ID,ALTER_TABLE_FK
dbo.ADJUSTMENT_DIST.sql,FK_ADJDST_BATCH,ADJUSTMENT_DIST,"SITE_ID, BATCH_ID",JOURNAL_BATCH,"SITE_ID, ID",ALTER_TABLE_FK
dbo.ALLOCATION.sql,FKEY0016,ALLOCATION,CURRENCY_ID,CURRENCY,ID,ALTER_TABLE_FK
dbo.ALLOCATION.sql,FKEY0016,ALLOCATION,FROM_SITE_ID,SITE,ID,ALTER_TABLE_FK
dbo.ALLOCATION_DETAIL.sql,FKEY0019,ALLOCATION_DETAIL,ALLOC_ID,ALLOCATION,ID,ALTER_TABLE_FK
dbo.ALLOCATION_DETAIL.sql,FKEY0017,ALLOCATION_DETAIL,DIV_SITE_ID,SITE,ID,ALTER_TABLE_FK
dbo.ALLOCATION_DETAIL.sql,FKEY0017,ALLOCATION_DETAIL,NUM_SITE_ID,SITE,ID,ALTER_TABLE_FK
dbo.ALLOCATION_DETAIL.sql,FKEY0018,ALLOCATION_DETAIL,TRANS_SITE_ID,SITE,ID,ALTER_TABLE_FK
dbo.AMTS_PENDING_TRANS.sql,FK_AMTS_PENDING_TRANS_00,AMTS_PENDING_TRANS,DEVIATION_ID,DEVIATION_REASON,ID,ALTER_TABLE_FK
dbo.APPLICATION_GLOBAL.sql,FK_APP_GLOBAL_DORID,APPLICATION_GLOBAL,DEF_TERMS_ID,TERMS,ID,ALTER_TABLE_FK
dbo.APPLICATION_GLOBAL.sql,FK_APP_GLOBAL_DORID,APPLICATION_GLOBAL,DUE_ON_RECEIPT_ID,TERMS,ID,ALTER_TABLE_FK
dbo.APPLICATION_GLOBAL.sql,FK_APP_GLOBAL_TERMS,APPLICATION_GLOBAL,EURO_CURRENCY_ID,CURRENCY,ID,ALTER_TABLE_FK
dbo.APPLICATION_LINK.sql,FKEY0248,APPLICATION_LINK,"GROUP_ID, LANGUAGE_ID",APPLICATION_GROUP,"GROUP_ID, LANGUAGE_ID",ALTER_TABLE_FK
dbo.APPLICATION_LINK.sql,FKEY0248,APPLICATION_LINK,"PROGRAM_ID, LANGUAGE_ID",APPLICATION,"PROGRAM_ID, LANGUAGE_ID",ALTER_TABLE_FK
dbo.APP_CONFIG_ITEM.sql,FK_APP_CONFIG_ITEM_TO_APP,APP_CONFIG_ITEM,APP_CONFIG_ID,APP_CONFIG,ID,ALTER_TABLE_FK
dbo.APP_CONFIG_USER.sql,FK_APP_CONFIG_USER_TO_APP,APP_CONFIG_USER,DEFAULT_APP_CONFIG_ID,APP_CONFIG,ID,ALTER_TABLE_FK
dbo.BANK_ACCOUNT.sql,FKEY0060,BANK_ACCOUNT,CURRENCY_ID,CURRENCY,ID,ALTER_TABLE_FK
dbo.BANK_ACCOUNT.sql,FKEY0060,BANK_ACCOUNT,GL_ACCOUNT_ID,ACCOUNT,ID,ALTER_TABLE_FK
dbo.BANK_ADJUSTMENT.sql,FKEY0222,BANK_ADJUSTMENT,BANK_ACCOUNT_ID,BANK_ACCOUNT,ID,ALTER_TABLE_FK
