"TABLE_TYPE","dbms","TABLE_CATALOG","TABLE_SCHEMA","TABLE_NAME","COLUMN_NAME","ORDINAL_POSITION","DATA_TYPE","CHARACTER_MAXIMUM_LENGTH","CONSTRAINT_TYPE","TABLE_SCHEMA1","TABLE_NAME1","COLUMN_NAME1"
"BASE TABLE","sqlserver","LIVE","cdc","captured_columns","object_id","1","int","","PRIMARY KEY","","",""
"BASE TABLE","sqlserver","LIVE","cdc","captured_columns","column_name","2","nvarchar","128","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","captured_columns","column_id","3","int","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","captured_columns","column_type","4","nvarchar","128","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","captured_columns","column_ordinal","5","int","","PRIMARY KEY","","",""
"BASE TABLE","sqlserver","LIVE","cdc","captured_columns","is_computed","6","bit","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","captured_columns","masking_function","7","nvarchar","4000","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","change_tables","object_id","1","int","","PRIMARY KEY","","",""
"BASE TABLE","sqlserver","LIVE","cdc","change_tables","version","2","int","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","change_tables","source_object_id","3","int","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","change_tables","capture_instance","4","nvarchar","128","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","change_tables","start_lsn","5","binary","10","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","change_tables","end_lsn","6","binary","10","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","change_tables","supports_net_changes","7","bit","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","change_tables","has_drop_pending","8","bit","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","change_tables","role_name","9","nvarchar","128","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","change_tables","index_name","10","nvarchar","128","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","change_tables","filegroup_name","11","nvarchar","128","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","change_tables","create_date","12","datetime","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","change_tables","partition_switch","13","bit","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_ACCOUNT_BALANCE_CT","__$start_lsn","1","binary","10","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_ACCOUNT_BALANCE_CT","__$end_lsn","2","binary","10","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_ACCOUNT_BALANCE_CT","__$seqval","3","binary","10","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_ACCOUNT_BALANCE_CT","__$operation","4","int","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_ACCOUNT_BALANCE_CT","__$update_mask","5","varbinary","128","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_ACCOUNT_BALANCE_CT","ROWID","6","int","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_ACCOUNT_BALANCE_CT","ACCOUNT_ID","7","nvarchar","30","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_ACCOUNT_BALANCE_CT","SITE_ID","8","nvarchar","15","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_ACCOUNT_BALANCE_CT","ACCT_YEAR","9","decimal","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_ACCOUNT_BALANCE_CT","ACCT_PERIOD","10","decimal","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_ACCOUNT_BALANCE_CT","DEBIT_AMOUNT","11","decimal","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_ACCOUNT_BALANCE_CT","CREDIT_AMOUNT","12","decimal","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_ACCOUNT_BALANCE_CT","DEBIT_BUDGET","13","decimal","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_ACCOUNT_BALANCE_CT","CREDIT_BUDGET","14","decimal","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_ACCOUNT_BALANCE_CT","FLAG","15","int","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_ACCOUNT_BALANCE_CT","CURRENCY_ID","16","nvarchar","15","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_ACCOUNT_BALANCE_CT","CURR_BALANCE","17","decimal","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_ACCOUNT_BALANCE_CT","SOA_BAL_SENT","18","nchar","1","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_ACCOUNT_BALANCE_CT","__$command_id","19","int","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_ACCOUNT_CT","__$start_lsn","1","binary","10","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_ACCOUNT_CT","__$end_lsn","2","binary","10","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_ACCOUNT_CT","__$seqval","3","binary","10","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_ACCOUNT_CT","__$operation","4","int","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_ACCOUNT_CT","__$update_mask","5","varbinary","128","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_ACCOUNT_CT","ROWID","6","int","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_ACCOUNT_CT","ID","7","nvarchar","30","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_ACCOUNT_CT","DESCRIPTION","8","nvarchar","120","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_ACCOUNT_CT","TYPE","9","nchar","1","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_ACCOUNT_CT","SUMMARY_ACCOUNT","10","nchar","1","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_ACCOUNT_CT","PARENT_ACCT_ID","11","nvarchar","30","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_ACCOUNT_CT","CURRENCY_ID","12","nvarchar","15","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_ACCOUNT_CT","REVALUE","13","nchar","1","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_ACCOUNT_CT","PROJECT_ACCOUNT","14","nchar","1","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_ACCOUNT_CT","ACTIVE_FLAG","15","nchar","1","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_ACCOUNT_CT","STATUS_EFF_DATE","16","datetime","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_ACCOUNT_CT","__$command_id","17","int","","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_ACCOUNT_SITE_CT","__$start_lsn","1","binary","10","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_ACCOUNT_SITE_CT","__$end_lsn","2","binary","10","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_ACCOUNT_SITE_CT","__$seqval","3","binary","10","","","",""
"BASE TABLE","sqlserver","LIVE","cdc","dbo_ACCOUNT_SITE_CT","__$operation","4","int","","","","",""
