Boeing Invoice #,Boeing Purchase Order #,Supplier Invoice #,Invoice Received Date,Invoice Gross Amt,Applied Disc Amt,Invoice Net Amt,Conversion Rate,,,,,
613-A46-003600417,613-0C0008042,1472480,45934,242.45,0.00,242.45,0.00,,,,,
613-A46-003600418,613-0C0008048,1472481,45934,288.80,0.00,288.80,0.00,,,,,
605-A46-001695907,605-000745386,1472609,45936,340.27,0.00,340.27,0.00,,,,,
609-A46-001825019,609-001044033,1472476,45936,255.56,0.00,255.56,0.00,,,,,
609-A46-001825017,609-001045090,1472474,45936,2737.86,0.00,2737.86,0.00,,,,,
609-A46-001825016,609-001048782,1472472,45936,615.24,0.00,615.24,0.00,,,,,
609-A46-001825018,609-001049524,1472475,45936,1571.58,0.00,1571.58,0.00,,,,,
633-A46-004429168,633-001838085,1472492,45936,495.00,0.00,495.00,0.00,,,,,
634-A46-000399621,634-000195250,1471891,45936,451.74,0.00,451.74,0.00,,,,,
609-A46-001825089,609-001044042,1472612,45937,1790.75,0.00,1790.75,0.00,,,,,
609-A46-001825090,609-001049539,1472613,45937,138.78,0.00,138.78,0.00,,,,,
609-A46-001825091,609-001049540,1472614,45937,97.66,0.00,97.66,0.00,,,,,
609-A46-001825092,609-001050045,1472615,45937,126.60,0.00,126.60,0.00,,,,,
609-A46-001825093,609-001050046,1472616,45937,126.60,0.00,126.60,0.00,,,,,
609-A46-001825094,609-001050056,1472617,45937,150.24,0.00,150.24,0.00,,,,,
609-A46-001825095,609-001050057,1472618,45937,150.24,0.00,150.24,0.00,,,,,
609-A46-001825099,609-0P0001610,1472622,45937,126.60,0.00,126.60,0.00,,,,,
613-A46-003601410,613-000641777,1472624,45937,773.64,0.00,773.64,0.00,,,,,
613-A46-003601414,613-000658070,1472744,45937,881.40,0.00,881.40,0.00,,,,,
613-A46-003601412,613-000663668,1472626,45937,655.68,0.00,655.68,0.00,,,,,
613-A46-003601413,613-000663671,1472629,45937,722.80,0.00,722.80,0.00,,,,,
626-A46-002296668,626-000957026,1472630,45937,50.16,0.00,50.16,0.00,,,,,
626-A46-002296669,626-000976352,1472631,45937,360.36,0.00,360.36,0.00,,,,,
626-A46-002296670,626-000976712,1472632,45937,360.36,0.00,360.36,0.00,,,,,
640-A46-000339236,640-000158266,1472567,45937,3755.34,0.00,3755.34,0.00,,,,,
607-A46-004038993,607-000666537,1472804,45938,286.50,0.00,286.50,0.00,,,,,
609-A46-001825173,609-001043132,1472805,45938,643.58,0.00,643.58,0.00,,,,,
609-A46-001825172,609-001045082,1472803,45938,285.40,0.00,285.40,0.00,,,,,
613-A46-003601787,613-000643405,1472819,45938,2141.15,0.00,2141.15,0.00,,,,,
613-A46-003601788,613-000649060,1472820,45938,1048.60,0.00,1048.60,0.00,,,,,
613-A46-003601789,613-000649061,1472821,45938,784.90,0.00,784.90,0.00,,,,,
621-A46-005950389,621-0P0012714,1472822,45938,362.76,0.00,362.76,0.00,,,,,
621-A46-005950390,621-0P0012717,1472823,45938,674.40,0.00,674.40,0.00,,,,,
633-A46-004429894,633-001832977,1472884,45938,3899.73,0.00,3899.73,0.00,,,,,
633-A46-004429893,633-001840721,1472633,45938,1066.35,0.00,1066.35,0.00,,,,,
634-A46-000400710,634-000196513,1472493,45938,46.63,0.00,46.63,0.00,,,,,
634-A46-000400712,634-000196795,1472495,45938,461.73,0.00,461.73,0.00,,,,,
634-A46-000400711,634-000196795,1472494,45938,153.91,0.00,153.91,0.00,,,,,
609-A46-001825820,609-001061503,251005AX,45939,6677.35,0.00,6677.35,0.00,,,,,
609-A46-001825738,609-001061506,251005MA,45939,491.31,0.00,491.31,0.00,,,,,
609-A46-001825872,609-001061512,251005M,45939,96022.52,0.00,96022.52,0.00,,,,,
611-A46-000000992,611-0Z0000173,1471400,45939,1470.42,0.00,1470.42,0.00,,,,,
611-A46-000000993,611-0Z0000181,1471402,45939,2784.29,0.00,2784.29,0.00,,,,,
611-A46-000000994,611-0Z0000182,1471403,45939,1986.39,0.00,1986.39,0.00,,,,,
611-A46-000000995,611-0Z0000187,1471404,45939,1696.26,0.00,1696.26,0.00,,,,,
611-A46-000000996,611-0Z0000445,1471406,45939,1443.78,0.00,1443.78,0.00,,,,,
611-A46-000000997,611-0Z0000491,1471408,45939,1638.35,0.00,1638.35,0.00,,,,,
611-A46-000000998,611-0Z0002594,1472538,45939,1647.42,0.00,1647.42,0.00,,,,,
613-A46-003602227,613-000636923,1472983,45939,411.63,0.00,411.63,0.00,,,,,
613-A46-003602230,613-000640297,1473019,45939,1870.32,0.00,1870.32,0.00,,,,,
613-A46-003602228,613-000656388,1472985,45939,479.52,0.00,479.52,0.00,,,,,
613-A46-003602229,613-000658846,1472992,45939,829.08,0.00,829.08,0.00,,,,,
614-A46-015779703,614-000893220,251005BOLTBOARDS,45939,6561.00,0.00,6561.00,0.00,,,,,
621-A46-005950873,621-0C0006969,1473024,45939,1868.10,0.00,1868.10,0.00,,,,,
621-A46-005950872,621-0J0015510,1472986,45939,878.34,0.00,878.34,0.00,,,,,
621-A46-005950871,621-0N0065758,1472982,45939,131.40,0.00,131.40,0.00,,,,,
648-A46-000359969,648-000030526,1472637,45939,123.80,0.00,123.80,0.00,,,,,
605-A46-001696091,605-000743206,1473216,45940,729.72,0.00,729.72,0.00,,,,,
613-A46-003602625,613-000625624,1473045,45940,439.40,0.00,439.40,0.00,,,,,
613-A46-003602626,613-000640546,1473046,45940,507.81,0.00,507.81,0.00,,,,,
613-A46-003602627,613-000640547,1473047,45940,336.88,0.00,336.88,0.00,,,,,
613-A46-003602628,613-000640554,1473048,45940,235.38,0.00,235.38,0.00,,,,,
613-A46-003602629,613-000640559,1473049,45940,187.08,0.00,187.08,0.00,,,,,
613-A46-003602630,613-000640561,1473050,45940,233.46,0.00,233.46,0.00,,,,,
613-A46-003602631,613-000640563,1473051,45940,387.30,0.00,387.30,0.00,,,,,
613-A46-003602632,613-000640565,1473052,45940,362.34,0.00,362.34,0.00,,,,,
613-A46-003602633,613-000640567,1473053,45940,278.82,0.00,278.82,0.00,,,,,
613-A46-003602634,613-000640577,1473054,45940,384.96,0.00,384.96,0.00,,,,,
613-A46-003602635,613-000640580,1473055,45940,192.71,0.00,192.71,0.00,,,,,
613-A46-003602636,613-000640583,1473057,45940,101.72,0.00,101.72,0.00,,,,,
613-A46-003602637,613-000640584,1473058,45940,211.28,0.00,211.28,0.00,,,,,
613-A46-003602624,613-000647823,1473044,45940,589.61,0.00,589.61,0.00,,,,,
613-A46-003602638,613-0X0007902,1473059,45940,734.56,0.00,734.56,0.00,,,,,
621-A46-005951322,621-001338474,1473060,45940,956.20,0.00,956.20,0.00,,,,,
621-A46-005951325,621-001354285,1473081,45940,1621.71,0.00,1621.71,0.00,,,,,
621-A46-005951323,621-0P0012713,1473061,45940,759.30,0.00,759.30,0.00,,,,,
621-A46-005951324,621-0P0012720,1473062,45940,878.34,0.00,878.34,0.00,,,,,
629-A46-001193832,629-LG0003204,1472556,45940,2542.00,0.00,2542.00,0.00,,,,,
629-A46-001193831,629-LG0003222,1472491,45940,1752.75,0.00,1752.75,0.00,,,,,
600-A76-001260815,NO PO INVOICE,3341010600,45940,-885.17,0.00,-885.17,0.00,,,,,
600-A76-001260818,NO PO INVOICE,3341010900,45940,-123.53,0.00,-123.53,0.00,,,,,
600-A76-001260816,NO PO INVOICE,3341010700,45940,-315.05,0.00,-315.05,0.00,,,,,
600-A76-001260817,NO PO INVOICE,3341010800,45940,-2499.84,0.00,-2499.84,0.00,,,,,
600-A76-001260814,NO PO INVOICE,3341010500,45940,-266.03,0.00,-266.03,0.00,,,,,
613-A46-003603089,613-000633732,1473241,45941,792.26,0.00,792.26,0.00,,,,,
613-A46-003603082,613-000636920,1473154,45941,303.50,0.00,303.50,0.00,,,,,
613-A46-003603083,613-000640992,1473155,45941,3102.20,0.00,3102.20,0.00,,,,,
613-A46-003603090,613-000641004,1473242,45941,2447.46,0.00,2447.46,0.00,,,,,
613-A46-003603085,613-000643606,1473157,45941,250.43,0.00,250.43,0.00,,,,,
613-A46-003603086,613-000648172,1473158,45941,952.64,0.00,952.64,0.00,,,,,
613-A46-003603087,613-000662208,1473159,45941,2327.00,0.00,2327.00,0.00,,,,,
613-A46-003603088,613-0G0003700,1473160,45941,829.36,0.00,829.36,0.00,,,,,
621-A46-005951581,621-001341156,1473161,45941,1411.75,0.00,1411.75,0.00,,,,,
621-A46-005951582,621-001354289,1473237,45941,1329.27,0.00,1329.27,0.00,,,,,
621-A46-005951583,621-001354660,1476974,45941,2489.60,0.00,2489.60,0.00,,,,,
633-A46-004430527,633-001833196,1473240,45941,654.40,0.00,654.40,0.00,,,,,
633-A46-004430524,633-001834791,1473163,45941,1271.25,0.00,1271.25,0.00,,,,,
633-A46-004430526,633-001834797,1473165,45941,6301.65,0.00,6301.65,0.00,,,,,
600-A76-001260821,NO PO INVOICE,3341613300,45941,-89.03,0.00,-89.03,0.00,,,,,
600-A76-001260820,NO PO INVOICE,3341613200,45941,-3212.76,0.00,-3212.76,0.00,,,,,
600-A76-001260825,NO PO INVOICE,3341613700,45941,-1199.59,0.00,-1199.59,0.00,,,,,
600-A76-001260819,NO PO INVOICE,3341613100,45941,-53362.89,0.00,-53362.89,0.00,,,,,
600-A76-001260822,NO PO INVOICE,3341613400,45941,-183.70,0.00,-183.70,0.00,,,,,
600-A76-001260824,NO PO INVOICE,3341613600,45941,-404.70,0.00,-404.70,0.00,,,,,
600-A76-001260826,NO PO INVOICE,3341613800,45941,-598.86,0.00,-598.86,0.00,,,,,
600-A76-001260823,NO PO INVOICE,3341613500,45941,-768.15,0.00,-768.15,0.00,,,,,
609-A46-001825385,609-001048550,1473150,45943,462.11,0.00,462.11,0.00,,,,,
