Boeing Invoice #,Boeing Purchase Order #,Supplier Invoice #,Invoice Received Date,Invoice Gross Amt,Applied Disc Amt,Invoice Net Amt,Conversion Rate
648-A46-000395491,648-000015115,1476759,11/16/2025,3603.60,0.00,3603.60,
613-A46-003622198,613-000614477,1477524,11/21/2025,3494.05,0.00,3494.05,
618-A46-003913470,618-000369006,1478226,11/28/2025,530.80,0.00,530.80,
626-A46-002299737,626-000957027,1478173,11/28/2025,50.16,0.00,50.16,
638-A46-001636927,638-L00101891,1477609,11/29/2025,1679.25,0.00,1679.25,
609-A46-001828476,609-001045099,1478168,12/01/2025,99.42,0.00,99.42,
609-A46-001828478,609-001049169,1478170,12/01/2025,16.57,0.00,16.57,
623-A46-001862642,623-000111139,1478192,12/01/2025,1292.85,0.00,1292.85,
634-A46-000406539,634-000196108,1478020,12/01/2025,752.90,0.00,752.90,
634-A46-000406537,634-000196438,1477810,12/01/2025,207.04,0.00,207.04,
634-A46-000406540,634-000198995,1478078,12/01/2025,1250.00,0.00,1250.00,
634-A46-000406532,634-000199770,1477604,12/01/2025,513.40,0.00,513.40,
634-A46-000406531,634-000199770,1477603,12/01/2025,513.40,0.00,513.40,
634-A46-000406533,634-000199770,1477605,12/01/2025,817.93,0.00,817.93,
634-A46-000406534,634-000199770,1477606,12/01/2025,817.93,0.00,817.93,
634-A46-000406535,634-000200116,1477607,12/01/2025,817.93,0.00,817.93,
634-A46-000406536,634-000200515,1477608,12/01/2025,1635.86,0.00,1635.86,
607-A46-004043997,607-000667261,1478430,12/02/2025,229.32,0.00,229.32,
607-A46-004043998,607-000675700,1478431,12/02/2025,303.36,0.00,303.36,
609-A46-001828635,609-001051130,1478428,12/02/2025,2383.11,0.00,2383.11,
613-A46-003624656,613-000614890,1478432,12/02/2025,2060.30,0.00,2060.30,
613-A46-003624657,613-000633728,1478433,12/02/2025,315.68,0.00,315.68,
613-A46-003624665,613-000646711,1478442,12/02/2025,352.35,0.00,352.35,
613-A46-003624666,613-000664121,1478443,12/02/2025,3138.00,0.00,3138.00,
618-A46-003914996,618-000369017,1478445,12/02/2025,226.70,0.00,226.70,
633-A46-004440828,633-001827330,1478174,12/02/2025,2844.48,0.00,2844.48,
634-A46-000406993,634-000201430,1478180,12/02/2025,540.48,0.00,540.48,
638-A46-001637137,638-L00100520,1477811,12/02/2025,1612.20,0.00,1612.20,
640-A46-000342731,640-000163508,1477813,12/02/2025,331.68,0.00,331.68,
640-A46-000342732,640-000163509,1477814,12/02/2025,419.76,0.00,419.76,
640-A46-000342734,640-000164289,1477816,12/02/2025,296.30,0.00,296.30,
640-A46-000342735,640-000164317,1477817,12/02/2025,548.86,0.00,548.86,
648-A46-000408313,648-000034413,1478455,12/02/2025,123.80,0.00,123.80,
609-A46-001828732,609-001051475,1478550,12/03/2025,169.75,0.00,169.75,
609-A46-001828784,609-001052787,511588,12/03/2025,853.68,0.00,853.68,
609-A46-001828730,609-001057116,1478548,12/03/2025,437.28,0.00,437.28,
609-A46-001828731,609-0J0003964,1478549,12/03/2025,674.41,0.00,674.41,
613-A46-003625024,613-000633738,1478551,12/03/2025,376.25,0.00,376.25,
613-A46-003625033,613-000641173,1478561,12/03/2025,562.55,0.00,562.55,
613-A46-003625035,613-000641780,1478618,12/03/2025,1560.45,0.00,1560.45,
633-A46-004441143,633-001833771,1478176,12/03/2025,1017.00,0.00,1017.00,
609-A46-001828836,609-001053043,1478691,12/04/2025,114.14,0.00,114.14,
611-A46-000001375,611-0Z0000445,1478256,12/04/2025,1443.78,0.00,1443.78,
613-A46-003625485,613-000640828,1478692,12/04/2025,160.52,0.00,160.52,
613-A46-003625486,613-000644531,1478693,12/04/2025,1237.60,0.00,1237.60,
613-A46-003625492,613-000647564,1478718,12/04/2025,872.32,0.00,872.32,
613-A46-003625487,613-000647841,1478694,12/04/2025,330.50,0.00,330.50,
613-A46-003625488,613-000657819,1478695,12/04/2025,1709.00,0.00,1709.00,
613-A46-003625489,613-000668350,1478696,12/04/2025,1018.20,0.00,1018.20,
613-A46-003625490,613-0C0008053,1478697,12/04/2025,654.50,0.00,654.50,
613-A46-003625491,613-0P0013082,1478698,12/04/2025,631.73,0.00,631.73,
621-A46-005976633,621-001343808,1478719,12/04/2025,1621.30,0.00,1621.30,
621-A46-005976631,621-001343875,1478699,12/04/2025,443.85,0.00,443.85,
621-A46-005976632,621-0C0006511,1478700,12/04/2025,1113.10,0.00,1113.10,
