metric_id,action_id,metric_type,baseline_value,target_value,actual_value,improvement_pct,measurement_date,verified_by,created_date
1,23,Cycle Time,0.0474,0.0237,0.0263,44.5,2024-12-01,William Day,2024-04-12 14:33:40
2,27,Defect Rate,0.0255,0.0127,0.0128,49.8,2024-02-13,Michael Cooper,2024-11-03 00:34:35
3,6,MTBF,0.0401,0.02,0.014,65.1,2024-08-10,Penny Bowman,2024-08-05 15:34:40
4,10,Cost Reduction,0.0566,0.0283,0.0287,49.3,2024-11-08,Vincent Reynolds,2024-12-09 07:19:37
5,5,Defect Rate,0.0506,0.0253,0.0214,57.7,2024-10-18,Amy Martinez,2024-09-24 03:26:40
6,7,Defect Rate,0.0525,0.0262,0.0422,19.6,2024-10-25,Christopher Morris,2024-12-03 21:43:05
7,27,Defect Rate,0.0201,0.01,0.0124,38.3,2024-02-04,Hannah Everett,2024-07-13 04:06:54
8,2,Cycle Time,0.0942,0.0471,0.0548,41.8,2024-08-31,Sarah King,2024-11-14 04:42:40
9,18,Cycle Time,0.0413,0.0207,0.0221,46.5,2024-02-15,Krista Martinez,2024-12-19 14:07:51
10,1,MTBF,0.0424,0.0212,0.0212,50.0,2024-09-21,Joseph Shaw,2024-05-01 05:08:48
11,20,Cost Reduction,0.0819,0.041,0.0556,32.1,2024-10-19,Todd Moore,2024-11-16 11:06:37
12,22,Cost Reduction,0.098,0.049,0.0689,29.7,2024-04-19,Michelle Jacobs,2024-05-07 17:54:57
13,19,Cycle Time,0.0326,0.0163,0.0267,18.1,2024-11-05,Kristy Bryan,2024-11-28 03:09:29
14,1,Cost Reduction,0.0398,0.0199,0.0152,61.8,2024-02-06,Angel May,2024-07-25 22:22:03
15,12,Cost Reduction,0.0717,0.0358,0.0389,45.7,2024-10-28,Marilyn Wang,2024-08-17 09:11:08
16,12,Cost Reduction,0.0938,0.0469,0.0297,68.3,2024-11-12,Mark Jimenez,2024-12-07 19:04:21
17,28,Cost Reduction,0.0334,0.0167,0.0117,65.0,2024-10-25,Donna Frye,2024-04-12 10:04:04
18,17,Defect Rate,0.0973,0.0486,0.0659,32.3,2024-03-20,Dr. Michael Evans,2024-10-13 01:42:46
19,6,Defect Rate,0.0348,0.0174,0.0285,18.1,2024-11-02,Anthony Gonzales,2024-05-18 17:18:21
20,10,Defect Rate,0.0549,0.0274,0.0263,52.1,2024-06-01,Mr. Lawrence Edwards,2024-05-16 03:57:08
21,14,Yield,0.0431,0.0215,0.0308,28.5,2024-07-11,Morgan Valencia,2024-08-04 02:33:38
22,13,Yield,0.0897,0.0449,0.0299,66.7,2024-05-06,Bianca Wood,2024-01-14 15:58:19
23,13,Cost Reduction,0.0328,0.0164,0.019,42.1,2024-12-19,Emma Owens,2024-07-01 07:56:00
24,23,Cost Reduction,0.0257,0.0129,0.0111,56.8,2024-09-27,David Davis,2024-08-24 10:20:11
25,24,MTBF,0.0582,0.0291,0.0307,47.3,2024-04-24,James Gilbert,2024-08-29 17:31:52
26,25,Cycle Time,0.0929,0.0464,0.0382,58.9,2024-05-11,Sean Moore,2024-09-04 18:34:00
27,6,MTBF,0.045,0.0225,0.0322,28.4,2024-12-07,Kenneth Edwards,2024-11-23 15:00:30
28,4,Cycle Time,0.0816,0.0408,0.0719,11.9,2024-09-15,Kathleen Robertson,2024-08-06 03:50:42
29,19,MTBF,0.0328,0.0164,0.0263,19.8,2024-10-10,Mr. Alexander Landry MD,2024-08-17 22:10:57
30,22,MTBF,0.0654,0.0327,0.0527,19.4,2024-02-07,Cindy Gomez,2024-06-08 01:21:13
