equipment_id,line_id,equipment_type,equipment_name,measurement_date,availability_rate,performance_rate,quality_rate,oee_score,downtime_hours,created_date
1,1,Welding Station,Welding Station 1-1,2024-01-01,0.935,0.792,0.938,0.695,1.56,2024-01-01 00:00:00
1,1,Welding Station,Welding Station 1-1,2024-01-08,0.817,0.937,0.945,0.723,4.39,2024-01-08 00:00:00
1,1,Welding Station,Welding Station 1-1,2024-01-15,0.81,0.904,0.95,0.696,4.56,2024-01-15 00:00:00
1,1,Welding Station,Welding Station 1-1,2024-01-22,0.979,0.771,0.959,0.724,0.5,2024-01-22 00:00:00
1,1,Welding Station,Welding Station 1-1,2024-01-29,0.815,0.936,0.937,0.715,4.44,2024-01-29 00:00:00
1,1,Welding Station,Welding Station 1-1,2024-02-05,0.841,0.898,0.942,0.711,3.82,2024-02-05 00:00:00
1,1,Welding Station,Welding Station 1-1,2024-02-12,0.823,0.855,0.916,0.645,4.25,2024-02-12 00:00:00
1,1,Welding Station,Welding Station 1-1,2024-02-19,0.806,0.821,0.987,0.653,4.66,2024-02-19 00:00:00
1,1,Welding Station,Welding Station 1-1,2024-02-26,0.956,0.843,0.983,0.792,1.06,2024-02-26 00:00:00
1,1,Welding Station,Welding Station 1-1,2024-03-04,0.968,0.86,0.913,0.76,0.77,2024-03-04 00:00:00
1,1,Welding Station,Welding Station 1-1,2024-03-11,0.971,0.858,0.956,0.796,0.7,2024-03-11 00:00:00
1,1,Welding Station,Welding Station 1-1,2024-03-18,0.882,0.9,0.983,0.78,2.83,2024-03-18 00:00:00
1,1,Welding Station,Welding Station 1-1,2024-03-25,0.878,0.878,0.951,0.733,2.93,2024-03-25 00:00:00
1,1,Welding Station,Welding Station 1-1,2024-04-01,0.964,0.846,0.922,0.752,0.86,2024-04-01 00:00:00
1,1,Welding Station,Welding Station 1-1,2024-04-08,0.816,0.812,0.939,0.622,4.42,2024-04-08 00:00:00
1,1,Welding Station,Welding Station 1-1,2024-04-15,0.828,0.752,0.95,0.592,4.13,2024-04-15 00:00:00
1,1,Welding Station,Welding Station 1-1,2024-04-22,0.936,0.777,0.927,0.674,1.54,2024-04-22 00:00:00
1,1,Welding Station,Welding Station 1-1,2024-04-29,0.896,0.888,0.947,0.753,2.5,2024-04-29 00:00:00
1,1,Welding Station,Welding Station 1-1,2024-05-06,0.936,0.81,0.973,0.738,1.54,2024-05-06 00:00:00
1,1,Welding Station,Welding Station 1-1,2024-05-13,0.944,0.869,0.976,0.801,1.34,2024-05-13 00:00:00
1,1,Welding Station,Welding Station 1-1,2024-05-20,0.899,0.788,0.984,0.697,2.42,2024-05-20 00:00:00
1,1,Welding Station,Welding Station 1-1,2024-05-27,0.879,0.8,0.968,0.681,2.9,2024-05-27 00:00:00
1,1,Welding Station,Welding Station 1-1,2024-06-03,0.916,0.916,0.921,0.773,2.02,2024-06-03 00:00:00
1,1,Welding Station,Welding Station 1-1,2024-06-10,0.814,0.875,0.949,0.676,4.46,2024-06-10 00:00:00
1,1,Welding Station,Welding Station 1-1,2024-06-17,0.944,0.873,0.966,0.796,1.34,2024-06-17 00:00:00
1,1,Welding Station,Welding Station 1-1,2024-06-24,0.849,0.88,0.951,0.711,3.62,2024-06-24 00:00:00
1,1,Welding Station,Welding Station 1-1,2024-07-01,0.848,0.788,0.907,0.606,3.65,2024-07-01 00:00:00
1,1,Welding Station,Welding Station 1-1,2024-07-08,0.825,0.772,0.943,0.601,4.2,2024-07-08 00:00:00
1,1,Welding Station,Welding Station 1-1,2024-07-15,0.881,0.89,0.947,0.743,2.86,2024-07-15 00:00:00
1,1,Welding Station,Welding Station 1-1,2024-07-22,0.858,0.78,0.992,0.664,3.41,2024-07-22 00:00:00
1,1,Welding Station,Welding Station 1-1,2024-07-29,0.804,0.944,0.927,0.704,4.7,2024-07-29 00:00:00
1,1,Welding Station,Welding Station 1-1,2024-08-05,0.823,0.838,0.901,0.621,4.25,2024-08-05 00:00:00
1,1,Welding Station,Welding Station 1-1,2024-08-12,0.816,0.753,0.921,0.566,4.42,2024-08-12 00:00:00
1,1,Welding Station,Welding Station 1-1,2024-08-19,0.876,0.907,0.947,0.752,2.98,2024-08-19 00:00:00
1,1,Welding Station,Welding Station 1-1,2024-08-26,0.867,0.889,0.903,0.696,3.19,2024-08-26 00:00:00
1,1,Welding Station,Welding Station 1-1,2024-09-02,0.814,0.9,0.914,0.67,4.46,2024-09-02 00:00:00
1,1,Welding Station,Welding Station 1-1,2024-09-09,0.848,0.828,0.952,0.668,3.65,2024-09-09 00:00:00
1,1,Welding Station,Welding Station 1-1,2024-09-16,0.833,0.929,0.924,0.715,4.01,2024-09-16 00:00:00
1,1,Welding Station,Welding Station 1-1,2024-09-23,0.869,0.753,0.993,0.65,3.14,2024-09-23 00:00:00
1,1,Welding Station,Welding Station 1-1,2024-09-30,0.929,0.827,0.993,0.763,1.7,2024-09-30 00:00:00
1,1,Welding Station,Welding Station 1-1,2024-10-07,0.844,0.949,0.919,0.736,3.74,2024-10-07 00:00:00
1,1,Welding Station,Welding Station 1-1,2024-10-14,0.932,0.769,0.963,0.69,1.63,2024-10-14 00:00:00
1,1,Welding Station,Welding Station 1-1,2024-10-21,0.838,0.828,0.991,0.688,3.89,2024-10-21 00:00:00
1,1,Welding Station,Welding Station 1-1,2024-10-28,0.969,0.782,0.969,0.734,0.74,2024-10-28 00:00:00
1,1,Welding Station,Welding Station 1-1,2024-11-04,0.934,0.86,0.912,0.733,1.58,2024-11-04 00:00:00
1,1,Welding Station,Welding Station 1-1,2024-11-11,0.887,0.81,0.934,0.671,2.71,2024-11-11 00:00:00
1,1,Welding Station,Welding Station 1-1,2024-11-18,0.809,0.883,0.992,0.709,4.58,2024-11-18 00:00:00
1,1,Welding Station,Welding Station 1-1,2024-11-25,0.842,0.837,0.901,0.635,3.79,2024-11-25 00:00:00
1,1,Welding Station,Welding Station 1-1,2024-12-02,0.943,0.867,0.938,0.767,1.37,2024-12-02 00:00:00
1,1,Welding Station,Welding Station 1-1,2024-12-09,0.844,0.944,0.955,0.761,3.74,2024-12-09 00:00:00
1,1,Welding Station,Welding Station 1-1,2024-12-16,0.924,0.888,0.915,0.751,1.82,2024-12-16 00:00:00
1,1,Welding Station,Welding Station 1-1,2024-12-23,0.939,0.8,0.947,0.711,1.46,2024-12-23 00:00:00
1,1,Welding Station,Welding Station 1-1,2024-12-30,0.923,0.818,0.992,0.749,1.85,2024-12-30 00:00:00
2,1,Quality Scanner,Quality Scanner 1-2,2024-01-01,0.811,0.821,0.915,0.609,4.54,2024-01-01 00:00:00
2,1,Quality Scanner,Quality Scanner 1-2,2024-01-08,0.897,0.771,0.946,0.654,2.47,2024-01-08 00:00:00
2,1,Quality Scanner,Quality Scanner 1-2,2024-01-15,0.857,0.862,0.961,0.71,3.43,2024-01-15 00:00:00
2,1,Quality Scanner,Quality Scanner 1-2,2024-01-22,0.863,0.928,0.97,0.777,3.29,2024-01-22 00:00:00
2,1,Quality Scanner,Quality Scanner 1-2,2024-01-29,0.804,0.826,0.969,0.644,4.7,2024-01-29 00:00:00
2,1,Quality Scanner,Quality Scanner 1-2,2024-02-05,0.845,0.758,0.967,0.619,3.72,2024-02-05 00:00:00
2,1,Quality Scanner,Quality Scanner 1-2,2024-02-12,0.901,0.859,0.947,0.733,2.38,2024-02-12 00:00:00
2,1,Quality Scanner,Quality Scanner 1-2,2024-02-19,0.902,0.859,0.931,0.721,2.35,2024-02-19 00:00:00
2,1,Quality Scanner,Quality Scanner 1-2,2024-02-26,0.884,0.924,0.957,0.782,2.78,2024-02-26 00:00:00
2,1,Quality Scanner,Quality Scanner 1-2,2024-03-04,0.955,0.782,0.95,0.709,1.08,2024-03-04 00:00:00
2,1,Quality Scanner,Quality Scanner 1-2,2024-03-11,0.881,0.914,0.951,0.766,2.86,2024-03-11 00:00:00
2,1,Quality Scanner,Quality Scanner 1-2,2024-03-18,0.882,0.905,0.948,0.757,2.83,2024-03-18 00:00:00
2,1,Quality Scanner,Quality Scanner 1-2,2024-03-25,0.932,0.927,0.959,0.829,1.63,2024-03-25 00:00:00
2,1,Quality Scanner,Quality Scanner 1-2,2024-04-01,0.866,0.874,0.93,0.704,3.22,2024-04-01 00:00:00
2,1,Quality Scanner,Quality Scanner 1-2,2024-04-08,0.811,0.943,0.978,0.748,4.54,2024-04-08 00:00:00
2,1,Quality Scanner,Quality Scanner 1-2,2024-04-15,0.834,0.887,0.973,0.72,3.98,2024-04-15 00:00:00
2,1,Quality Scanner,Quality Scanner 1-2,2024-04-22,0.828,0.807,0.939,0.627,4.13,2024-04-22 00:00:00
2,1,Quality Scanner,Quality Scanner 1-2,2024-04-29,0.858,0.769,0.963,0.635,3.41,2024-04-29 00:00:00
2,1,Quality Scanner,Quality Scanner 1-2,2024-05-06,0.808,0.938,0.917,0.695,4.61,2024-05-06 00:00:00
2,1,Quality Scanner,Quality Scanner 1-2,2024-05-13,0.806,0.771,0.918,0.57,4.66,2024-05-13 00:00:00
2,1,Quality Scanner,Quality Scanner 1-2,2024-05-20,0.806,0.878,0.937,0.663,4.66,2024-05-20 00:00:00
2,1,Quality Scanner,Quality Scanner 1-2,2024-05-27,0.888,0.875,0.956,0.743,2.69,2024-05-27 00:00:00
2,1,Quality Scanner,Quality Scanner 1-2,2024-06-03,0.809,0.794,0.968,0.622,4.58,2024-06-03 00:00:00
2,1,Quality Scanner,Quality Scanner 1-2,2024-06-10,0.802,0.934,0.962,0.721,4.75,2024-06-10 00:00:00
2,1,Quality Scanner,Quality Scanner 1-2,2024-06-17,0.967,0.916,0.944,0.836,0.79,2024-06-17 00:00:00
2,1,Quality Scanner,Quality Scanner 1-2,2024-06-24,0.915,0.822,0.971,0.73,2.04,2024-06-24 00:00:00
2,1,Quality Scanner,Quality Scanner 1-2,2024-07-01,0.96,0.914,0.975,0.856,0.96,2024-07-01 00:00:00
2,1,Quality Scanner,Quality Scanner 1-2,2024-07-08,0.81,0.873,0.95,0.672,4.56,2024-07-08 00:00:00
2,1,Quality Scanner,Quality Scanner 1-2,2024-07-15,0.932,0.917,0.907,0.775,1.63,2024-07-15 00:00:00
2,1,Quality Scanner,Quality Scanner 1-2,2024-07-22,0.839,0.854,0.91,0.652,3.86,2024-07-22 00:00:00
2,1,Quality Scanner,Quality Scanner 1-2,2024-07-29,0.842,0.827,0.918,0.639,3.79,2024-07-29 00:00:00
2,1,Quality Scanner,Quality Scanner 1-2,2024-08-05,0.918,0.864,0.99,0.785,1.97,2024-08-05 00:00:00
2,1,Quality Scanner,Quality Scanner 1-2,2024-08-12,0.901,0.862,0.971,0.754,2.38,2024-08-12 00:00:00
2,1,Quality Scanner,Quality Scanner 1-2,2024-08-19,0.938,0.865,0.964,0.782,1.49,2024-08-19 00:00:00
2,1,Quality Scanner,Quality Scanner 1-2,2024-08-26,0.926,0.835,0.91,0.704,1.78,2024-08-26 00:00:00
2,1,Quality Scanner,Quality Scanner 1-2,2024-09-02,0.943,0.86,0.948,0.769,1.37,2024-09-02 00:00:00
2,1,Quality Scanner,Quality Scanner 1-2,2024-09-09,0.918,0.857,0.957,0.753,1.97,2024-09-09 00:00:00
2,1,Quality Scanner,Quality Scanner 1-2,2024-09-16,0.968,0.93,0.952,0.857,0.77,2024-09-16 00:00:00
2,1,Quality Scanner,Quality Scanner 1-2,2024-09-23,0.979,0.919,0.939,0.845,0.5,2024-09-23 00:00:00
2,1,Quality Scanner,Quality Scanner 1-2,2024-09-30,0.914,0.915,0.931,0.779,2.06,2024-09-30 00:00:00
2,1,Quality Scanner,Quality Scanner 1-2,2024-10-07,0.843,0.859,0.936,0.678,3.77,2024-10-07 00:00:00
2,1,Quality Scanner,Quality Scanner 1-2,2024-10-14,0.899,0.899,0.934,0.755,2.42,2024-10-14 00:00:00
2,1,Quality Scanner,Quality Scanner 1-2,2024-10-21,0.881,0.942,0.9,0.747,2.86,2024-10-21 00:00:00
2,1,Quality Scanner,Quality Scanner 1-2,2024-10-28,0.806,0.807,0.902,0.587,4.66,2024-10-28 00:00:00
2,1,Quality Scanner,Quality Scanner 1-2,2024-11-04,0.824,0.928,0.901,0.689,4.22,2024-11-04 00:00:00
2,1,Quality Scanner,Quality Scanner 1-2,2024-11-11,0.977,0.793,0.93,0.721,0.55,2024-11-11 00:00:00
2,1,Quality Scanner,Quality Scanner 1-2,2024-11-18,0.939,0.939,0.978,0.862,1.46,2024-11-18 00:00:00
2,1,Quality Scanner,Quality Scanner 1-2,2024-11-25,0.965,0.852,0.954,0.784,0.84,2024-11-25 00:00:00
2,1,Quality Scanner,Quality Scanner 1-2,2024-12-02,0.903,0.769,0.944,0.656,2.33,2024-12-02 00:00:00
2,1,Quality Scanner,Quality Scanner 1-2,2024-12-09,0.828,0.803,0.985,0.655,4.13,2024-12-09 00:00:00
2,1,Quality Scanner,Quality Scanner 1-2,2024-12-16,0.845,0.801,0.929,0.629,3.72,2024-12-16 00:00:00
2,1,Quality Scanner,Quality Scanner 1-2,2024-12-23,0.903,0.864,0.921,0.719,2.33,2024-12-23 00:00:00
2,1,Quality Scanner,Quality Scanner 1-2,2024-12-30,0.814,0.815,0.946,0.628,4.46,2024-12-30 00:00:00
3,1,CMM,CMM 1-3,2024-01-01,0.949,0.888,0.955,0.805,1.22,2024-01-01 00:00:00
3,1,CMM,CMM 1-3,2024-01-08,0.963,0.869,0.929,0.777,0.89,2024-01-08 00:00:00
3,1,CMM,CMM 1-3,2024-01-15,0.932,0.865,0.907,0.731,1.63,2024-01-15 00:00:00
3,1,CMM,CMM 1-3,2024-01-22,0.81,0.904,0.933,0.683,4.56,2024-01-22 00:00:00
3,1,CMM,CMM 1-3,2024-01-29,0.947,0.833,0.982,0.775,1.27,2024-01-29 00:00:00
3,1,CMM,CMM 1-3,2024-02-05,0.957,0.795,0.962,0.732,1.03,2024-02-05 00:00:00
3,1,CMM,CMM 1-3,2024-02-12,0.908,0.752,0.974,0.665,2.21,2024-02-12 00:00:00
3,1,CMM,CMM 1-3,2024-02-19,0.869,0.811,0.904,0.637,3.14,2024-02-19 00:00:00
3,1,CMM,CMM 1-3,2024-02-26,0.897,0.78,0.948,0.663,2.47,2024-02-26 00:00:00
