quality_id,line_id,measurement_date,total_produced,passed_inspection,failed_inspection,first_pass_yield,rework_count,scrap_count,created_date
1,1,2024-01-01,550,506,44,92.0,2,15,2024-01-01 00:00:00
2,2,2024-01-01,743,716,27,96.37,12,5,2024-01-01 00:00:00
3,3,2024-01-01,169,165,4,97.63,3,1,2024-01-01 00:00:00
4,4,2024-01-01,503,492,11,97.81,2,3,2024-01-01 00:00:00
5,5,2024-01-01,813,803,10,98.77,2,0,2024-01-01 00:00:00
6,6,2024-01-01,953,946,7,99.27,3,1,2024-01-01 00:00:00
7,7,2024-01-01,580,575,5,99.14,2,1,2024-01-01 00:00:00
8,8,2024-01-01,220,204,16,92.73,12,7,2024-01-01 00:00:00
9,9,2024-01-01,289,287,2,99.31,0,0,2024-01-01 00:00:00
10,10,2024-01-01,104,95,9,91.35,5,3,2024-01-01 00:00:00
11,11,2024-01-01,775,742,33,95.74,22,3,2024-01-01 00:00:00
12,12,2024-01-01,476,446,30,93.7,22,9,2024-01-01 00:00:00
13,13,2024-01-01,285,269,16,94.39,12,6,2024-01-01 00:00:00
14,14,2024-01-01,120,110,10,91.67,8,5,2024-01-01 00:00:00
15,15,2024-01-01,974,896,78,91.99,42,31,2024-01-01 00:00:00
16,16,2024-01-01,930,893,37,96.02,26,1,2024-01-01 00:00:00
17,17,2024-01-01,814,807,7,99.14,0,1,2024-01-01 00:00:00
18,18,2024-01-01,375,347,28,92.53,7,13,2024-01-01 00:00:00
19,19,2024-01-01,752,714,38,94.95,12,4,2024-01-01 00:00:00
20,20,2024-01-01,702,672,30,95.73,13,8,2024-01-01 00:00:00
21,1,2024-01-02,731,721,10,98.63,9,3,2024-01-02 00:00:00
22,2,2024-01-02,986,960,26,97.36,14,13,2024-01-02 00:00:00
23,3,2024-01-02,128,124,4,96.88,0,1,2024-01-02 00:00:00
24,4,2024-01-02,145,133,12,91.72,4,3,2024-01-02 00:00:00
25,5,2024-01-02,201,197,4,98.01,1,0,2024-01-02 00:00:00
26,6,2024-01-02,992,945,47,95.26,3,8,2024-01-02 00:00:00
27,7,2024-01-02,850,819,31,96.35,31,9,2024-01-02 00:00:00
28,8,2024-01-02,390,364,26,93.33,17,7,2024-01-02 00:00:00
29,9,2024-01-02,184,178,6,96.74,5,3,2024-01-02 00:00:00
30,10,2024-01-02,344,329,15,95.64,14,6,2024-01-02 00:00:00
31,11,2024-01-02,290,285,5,98.28,2,1,2024-01-02 00:00:00
32,12,2024-01-02,824,788,36,95.63,19,0,2024-01-02 00:00:00
33,13,2024-01-02,856,808,48,94.39,23,16,2024-01-02 00:00:00
34,14,2024-01-02,547,520,27,95.06,16,2,2024-01-02 00:00:00
35,15,2024-01-02,397,387,10,97.48,7,2,2024-01-02 00:00:00
36,16,2024-01-02,168,158,10,94.05,7,4,2024-01-02 00:00:00
37,17,2024-01-02,470,463,7,98.51,1,2,2024-01-02 00:00:00
38,18,2024-01-02,211,205,6,97.16,4,3,2024-01-02 00:00:00
39,19,2024-01-02,277,263,14,94.95,11,4,2024-01-02 00:00:00
40,20,2024-01-02,802,772,30,96.26,2,5,2024-01-02 00:00:00
41,1,2024-01-03,239,223,16,93.31,7,8,2024-01-03 00:00:00
42,2,2024-01-03,960,942,18,98.12,5,1,2024-01-03 00:00:00
43,3,2024-01-03,421,405,16,96.2,0,0,2024-01-03 00:00:00
44,4,2024-01-03,572,556,16,97.2,3,3,2024-01-03 00:00:00
45,5,2024-01-03,981,973,8,99.18,0,2,2024-01-03 00:00:00
46,6,2024-01-03,835,785,50,94.01,32,8,2024-01-03 00:00:00
47,7,2024-01-03,899,850,49,94.55,29,15,2024-01-03 00:00:00
48,8,2024-01-03,172,162,10,94.19,10,2,2024-01-03 00:00:00
