schedule_id,line_id,product_id,scheduled_date,shift,planned_quantity,actual_quantity,completion_rate,status,created_date
1,19,29,2024-01-01,Day,220,198,90.0,Scheduled,2024-01-01 00:00:00
2,1,2,2024-01-01,Day,392,343,87.5,Completed,2024-01-01 00:00:00
3,2,3,2024-01-01,Swing,60,57,95.0,Scheduled,2024-01-01 00:00:00
4,3,19,2024-01-01,Day,454,387,85.2,Delayed,2024-01-01 00:00:00
5,7,27,2024-01-01,Day,442,405,91.6,Scheduled,2024-01-01 00:00:00
6,7,24,2024-01-01,Day,499,435,87.2,Completed,2024-01-01 00:00:00
7,14,28,2024-01-01,Night,170,155,91.2,Completed,2024-01-01 00:00:00
8,7,26,2024-01-02,Day,356,353,99.2,Completed,2024-01-02 00:00:00
9,2,19,2024-01-02,Day,79,68,86.1,Delayed,2024-01-02 00:00:00
10,8,3,2024-01-02,Night,470,455,96.8,Scheduled,2024-01-02 00:00:00
11,1,26,2024-01-02,Swing,316,275,87.0,Delayed,2024-01-02 00:00:00
12,8,11,2024-01-02,Night,72,63,87.5,In Progress,2024-01-02 00:00:00
13,20,25,2024-01-02,Day,83,76,91.6,Delayed,2024-01-02 00:00:00
14,8,2,2024-01-03,Swing,75,73,97.3,Completed,2024-01-03 00:00:00
15,14,3,2024-01-03,Day,374,351,93.9,Scheduled,2024-01-03 00:00:00
16,1,17,2024-01-03,Day,251,221,88.0,Completed,2024-01-03 00:00:00
17,14,17,2024-01-03,Day,120,118,98.3,In Progress,2024-01-03 00:00:00
18,19,10,2024-01-03,Swing,486,508,104.5,In Progress,2024-01-03 00:00:00
19,1,28,2024-01-03,Swing,443,417,94.1,Completed,2024-01-03 00:00:00
20,3,2,2024-01-03,Swing,87,91,104.6,Delayed,2024-01-03 00:00:00
21,8,1,2024-01-03,Night,158,155,98.1,Scheduled,2024-01-03 00:00:00
22,20,17,2024-01-04,Swing,153,148,96.7,Completed,2024-01-04 00:00:00
23,4,24,2024-01-04,Swing,98,94,95.9,Completed,2024-01-04 00:00:00
24,8,16,2024-01-04,Swing,391,365,93.4,In Progress,2024-01-04 00:00:00
25,4,13,2024-01-04,Swing,381,326,85.6,Scheduled,2024-01-04 00:00:00
26,4,17,2024-01-04,Swing,295,291,98.6,Scheduled,2024-01-04 00:00:00
27,5,22,2024-01-04,Night,253,259,102.4,Delayed,2024-01-04 00:00:00
28,14,18,2024-01-05,Night,259,268,103.5,In Progress,2024-01-05 00:00:00
29,13,29,2024-01-05,Night,62,53,85.5,Completed,2024-01-05 00:00:00
30,6,19,2024-01-05,Day,285,294,103.2,Completed,2024-01-05 00:00:00
31,15,17,2024-01-05,Night,267,250,93.6,Delayed,2024-01-05 00:00:00
32,7,15,2024-01-06,Night,341,337,98.8,Scheduled,2024-01-06 00:00:00
33,11,6,2024-01-06,Day,93,96,103.2,Delayed,2024-01-06 00:00:00
34,18,20,2024-01-06,Day,378,366,96.8,Scheduled,2024-01-06 00:00:00
35,11,19,2024-01-07,Night,347,335,96.5,Completed,2024-01-07 00:00:00
36,20,16,2024-01-07,Swing,119,108,90.8,Scheduled,2024-01-07 00:00:00
37,20,27,2024-01-07,Swing,127,118,92.9,Scheduled,2024-01-07 00:00:00
38,7,30,2024-01-07,Night,201,171,85.1,In Progress,2024-01-07 00:00:00
39,11,1,2024-01-07,Day,429,410,95.6,In Progress,2024-01-07 00:00:00
40,13,11,2024-01-08,Swing,445,417,93.7,Delayed,2024-01-08 00:00:00
41,3,27,2024-01-08,Day,348,308,88.5,Delayed,2024-01-08 00:00:00
42,13,12,2024-01-08,Day,491,451,91.9,Delayed,2024-01-08 00:00:00
43,4,27,2024-01-09,Swing,275,238,86.5,Delayed,2024-01-09 00:00:00
44,12,25,2024-01-09,Day,269,230,85.5,Completed,2024-01-09 00:00:00
45,9,9,2024-01-09,Night,417,404,96.9,Completed,2024-01-09 00:00:00
46,18,27,2024-01-09,Swing,317,329,103.8,In Progress,2024-01-09 00:00:00
47,2,21,2024-01-09,Day,377,355,94.2,Completed,2024-01-09 00:00:00
48,7,1,2024-01-09,Day,446,391,87.7,Completed,2024-01-09 00:00:00
49,11,21,2024-01-09,Day,424,434,102.4,Completed,2024-01-09 00:00:00
50,2,16,2024-01-10,Swing,309,286,92.6,Completed,2024-01-10 00:00:00
51,1,13,2024-01-10,Night,342,342,100.0,Delayed,2024-01-10 00:00:00
52,6,6,2024-01-10,Day,226,198,87.6,Completed,2024-01-10 00:00:00
53,4,21,2024-01-10,Night,258,250,96.9,Completed,2024-01-10 00:00:00
54,2,1,2024-01-10,Swing,246,217,88.2,Completed,2024-01-10 00:00:00
55,9,26,2024-01-10,Day,60,62,103.3,Scheduled,2024-01-10 00:00:00
56,5,9,2024-01-10,Night,383,379,99.0,Delayed,2024-01-10 00:00:00
57,16,26,2024-01-10,Night,281,259,92.2,In Progress,2024-01-10 00:00:00
58,16,29,2024-01-11,Night,407,411,101.0,Completed,2024-01-11 00:00:00
59,9,10,2024-01-11,Swing,463,452,97.6,Delayed,2024-01-11 00:00:00
60,16,9,2024-01-11,Day,238,245,102.9,Scheduled,2024-01-11 00:00:00
61,12,21,2024-01-12,Swing,302,304,100.7,In Progress,2024-01-12 00:00:00
62,11,24,2024-01-12,Day,240,214,89.2,In Progress,2024-01-12 00:00:00
63,18,18,2024-01-12,Night,244,239,98.0,Scheduled,2024-01-12 00:00:00
64,17,7,2024-01-12,Night,231,239,103.5,In Progress,2024-01-12 00:00:00
65,10,18,2024-01-12,Night,309,274,88.7,Completed,2024-01-12 00:00:00
66,12,21,2024-01-12,Night,388,402,103.6,Scheduled,2024-01-12 00:00:00
67,14,27,2024-01-12,Swing,372,328,88.2,Completed,2024-01-12 00:00:00
68,17,11,2024-01-13,Day,250,253,101.2,Completed,2024-01-13 00:00:00
69,15,16,2024-01-13,Swing,65,66,101.5,Delayed,2024-01-13 00:00:00
70,17,29,2024-01-13,Night,291,247,84.9,In Progress,2024-01-13 00:00:00
71,14,25,2024-01-13,Night,174,153,87.9,Delayed,2024-01-13 00:00:00
72,9,10,2024-01-13,Day,161,158,98.1,Scheduled,2024-01-13 00:00:00
73,18,2,2024-01-13,Swing,355,350,98.6,Completed,2024-01-13 00:00:00
74,2,12,2024-01-14,Night,454,413,91.0,Completed,2024-01-14 00:00:00
75,9,13,2024-01-14,Swing,355,314,88.5,Completed,2024-01-14 00:00:00
76,2,15,2024-01-14,Day,425,431,101.4,In Progress,2024-01-14 00:00:00
77,20,25,2024-01-14,Day,138,142,102.9,Delayed,2024-01-14 00:00:00
78,15,8,2024-01-14,Night,73,72,98.6,Scheduled,2024-01-14 00:00:00
79,19,11,2024-01-14,Swing,122,124,101.6,In Progress,2024-01-14 00:00:00
80,1,8,2024-01-14,Night,391,381,97.4,Completed,2024-01-14 00:00:00
81,11,18,2024-01-14,Swing,82,76,92.7,Completed,2024-01-14 00:00:00
82,1,10,2024-01-15,Swing,69,67,97.1,Completed,2024-01-15 00:00:00
83,18,4,2024-01-15,Swing,386,342,88.6,Completed,2024-01-15 00:00:00
84,3,5,2024-01-15,Swing,225,201,89.3,Delayed,2024-01-15 00:00:00
85,8,27,2024-01-15,Day,185,185,100.0,Scheduled,2024-01-15 00:00:00
86,11,7,2024-01-15,Day,367,374,101.9,Completed,2024-01-15 00:00:00
87,12,19,2024-01-16,Day,122,109,89.3,In Progress,2024-01-16 00:00:00
88,12,6,2024-01-16,Swing,494,436,88.3,In Progress,2024-01-16 00:00:00
89,13,29,2024-01-16,Day,126,120,95.2,In Progress,2024-01-16 00:00:00
90,12,16,2024-01-17,Day,404,347,85.9,Delayed,2024-01-17 00:00:00
91,12,12,2024-01-17,Swing,148,142,95.9,In Progress,2024-01-17 00:00:00
92,14,2,2024-01-17,Night,91,82,90.1,Completed,2024-01-17 00:00:00
93,3,16,2024-01-18,Night,168,153,91.1,In Progress,2024-01-18 00:00:00
94,11,25,2024-01-18,Night,226,229,101.3,Completed,2024-01-18 00:00:00
95,2,30,2024-01-18,Swing,402,378,94.0,Completed,2024-01-18 00:00:00
96,4,14,2024-01-18,Swing,292,259,88.7,Completed,2024-01-18 00:00:00
97,13,4,2024-01-18,Day,176,165,93.8,Completed,2024-01-18 00:00:00
98,16,12,2024-01-18,Swing,391,357,91.3,Completed,2024-01-18 00:00:00
99,4,6,2024-01-18,Swing,439,410,93.4,Completed,2024-01-18 00:00:00
100,17,26,2024-01-19,Night,181,172,95.0,Scheduled,2024-01-19 00:00:00
101,19,20,2024-01-19,Day,250,220,88.0,Scheduled,2024-01-19 00:00:00
102,20,27,2024-01-19,Swing,342,306,89.5,Completed,2024-01-19 00:00:00
103,8,30,2024-01-19,Night,60,60,100.0,Delayed,2024-01-19 00:00:00
104,14,24,2024-01-19,Swing,222,230,103.6,Completed,2024-01-19 00:00:00
105,11,24,2024-01-19,Night,209,191,91.4,Delayed,2024-01-19 00:00:00
106,5,30,2024-01-19,Night,326,286,87.7,Scheduled,2024-01-19 00:00:00
107,4,6,2024-01-20,Day,166,163,98.2,In Progress,2024-01-20 00:00:00
108,17,30,2024-01-20,Night,450,403,89.6,Delayed,2024-01-20 00:00:00
109,12,28,2024-01-20,Day,69,62,89.9,In Progress,2024-01-20 00:00:00
110,5,12,2024-01-20,Night,382,336,88.0,Completed,2024-01-20 00:00:00
111,2,28,2024-01-20,Night,255,231,90.6,Completed,2024-01-20 00:00:00
112,8,4,2024-01-20,Day,333,294,88.3,In Progress,2024-01-20 00:00:00
113,12,15,2024-01-21,Swing,291,268,92.1,Scheduled,2024-01-21 00:00:00
114,3,4,2024-01-21,Night,144,139,96.5,In Progress,2024-01-21 00:00:00
115,10,21,2024-01-21,Swing,199,192,96.5,Completed,2024-01-21 00:00:00
116,7,21,2024-01-21,Swing,93,88,94.6,Completed,2024-01-21 00:00:00
117,3,29,2024-01-22,Day,364,336,92.3,Completed,2024-01-22 00:00:00
118,16,16,2024-01-22,Day,390,408,104.6,Completed,2024-01-22 00:00:00
119,5,22,2024-01-22,Night,214,182,85.0,Completed,2024-01-22 00:00:00
120,20,5,2024-01-22,Swing,394,408,103.6,In Progress,2024-01-22 00:00:00
121,15,7,2024-01-22,Day,464,400,86.2,Delayed,2024-01-22 00:00:00
122,5,22,2024-01-22,Night,107,108,100.9,Completed,2024-01-22 00:00:00
123,16,8,2024-01-23,Night,77,76,98.7,Completed,2024-01-23 00:00:00
124,18,8,2024-01-23,Swing,130,113,86.9,Delayed,2024-01-23 00:00:00
125,15,7,2024-01-23,Night,88,88,100.0,Scheduled,2024-01-23 00:00:00
126,4,25,2024-01-23,Day,272,273,100.4,In Progress,2024-01-23 00:00:00
127,15,16,2024-01-23,Day,120,115,95.8,Scheduled,2024-01-23 00:00:00
128,20,24,2024-01-23,Night,379,344,90.8,Completed,2024-01-23 00:00:00
129,2,9,2024-01-23,Swing,241,246,102.1,In Progress,2024-01-23 00:00:00
130,6,1,2024-01-23,Day,76,64,84.2,Scheduled,2024-01-23 00:00:00
131,18,16,2024-01-24,Night,463,441,95.2,Delayed,2024-01-24 00:00:00
132,10,21,2024-01-24,Swing,67,68,101.5,Completed,2024-01-24 00:00:00
133,17,13,2024-01-24,Swing,137,132,96.4,Scheduled,2024-01-24 00:00:00
134,2,9,2024-01-24,Day,74,66,89.2,Delayed,2024-01-24 00:00:00
135,7,9,2024-01-24,Swing,449,446,99.3,Scheduled,2024-01-24 00:00:00
136,3,18,2024-01-24,Night,397,365,91.9,Completed,2024-01-24 00:00:00
137,18,17,2024-01-24,Day,172,173,100.6,Completed,2024-01-24 00:00:00
138,18,22,2024-01-24,Day,88,90,102.3,Scheduled,2024-01-24 00:00:00
139,11,4,2024-01-25,Day,86,73,84.9,Completed,2024-01-25 00:00:00
140,4,18,2024-01-25,Swing,193,178,92.2,Completed,2024-01-25 00:00:00
141,8,18,2024-01-25,Night,126,107,84.9,Delayed,2024-01-25 00:00:00
142,8,6,2024-01-25,Day,136,125,91.9,Delayed,2024-01-25 00:00:00
143,3,29,2024-01-26,Night,150,148,98.7,Scheduled,2024-01-26 00:00:00
144,14,8,2024-01-26,Swing,317,277,87.4,Completed,2024-01-26 00:00:00
145,3,21,2024-01-26,Night,171,163,95.3,Scheduled,2024-01-26 00:00:00
