# Tables referenced in Documentation/Schema/Data_Models/ SQL files
# Generated by extract_tables_from_data_models.py
# Format: TABLE_NAME | Domain | DDL_Available

ACCOUNT | Receivables | YES
CASH_DISBURSEMENT | Payables | YES
CASH_DISBURSE_LINE | Payables | YES
CONTACT | Receivables | YES
COUNTRY | Receivables | YES
CTE_BASE | Payables | NO
CTE_Dist | Inventory_Transactions | NO
CTE_Inv | Inventory_Transactions | NO
CTE_MATCH | Receivables | NO
CTE_Req | Inventory_Transactions | NO
CURRENCY | Receivables | YES
CUSTOMER | Receivables | YES
CUSTOMER_DISCOUNT | Receivables | YES
CUSTOMER_GROUP | Receivables | YES
CUSTOMER_ORDER | Receivables | YES
CUST_ORDER_LINE | Receivables | YES
DEMAND_SUPPLY_LINK | Payables | YES
Datamart | Payables | NO
Datawarehouse | Inventory_Transactions | NO
INVENTORY_TRANS | Inventory_Transactions, Receivables | YES
INV_TRANS_DIST | Inventory_Transactions, Receivables | YES
ISSUE_REASON | Receivables | YES
Inventory_On_Hand_Reconcilable | Inventory_Transactions | NO
LABEL_FORMAT | Receivables | YES
LIVE | Receivables | NO
LIVEARC | Inventory_Transactions | NO
LIVEAccounting | Receivables | NO
Live | Payables | NO
MODE_OF_TRANSPORT | Receivables | YES
Manufacturing | Inventory_Transactions | NO
NATURE_OF_TRANS | Receivables | YES
OPERATION | Inventory_Transactions, Payables, Receivables | YES
PART | Inventory_Transactions, Payables, Receivables | YES
PART_LOCATION | Inventory_Transactions | YES
PART_WAREHOUSE | Inventory_Transactions | YES
PAYABLE | Payables | YES
PAYABLE_DIST | Payables | YES
PAYABLE_LINE | Payables | YES
PORT_OF_ARRIVAL | Receivables | YES
PORT_OF_TRANS | Receivables | YES
PURCHASE_ORDER | Payables | YES
PURC_ORDER_LINE | Payables | YES
Purchase | Inventory_Transactions, Payables | NO
RECEIVABLE | Receivables | YES
RECEIVABLE_LINE | Receivables | YES
RECEIVER | Payables | YES
RECEIVER_LINE | Payables | YES
REQUIREMENT | Inventory_Transactions | YES
RMA_LINE | Receivables | YES
SALES_REP | Receivables | YES
SALES_TAX_GROUP | Receivables | YES
SERVICE | Payables | YES
SERVICE_RECEIPT | Payables | YES
SHIPPER | Receivables | YES
SHIPPER_LINE | Receivables | YES
SHOP_RESOURCE | Payables, Receivables | YES
SITE | Receivables | YES
SKILLS_PART_UDF | Payables | NO
SKILLS_WO_REC_QTY | Receivables | NO
Staging | Inventory_Transactions | NO
TERMS | Receivables | YES
TESTING | Inventory_Transactions | NO
TRACE | Inventory_Transactions | YES
TRACE_INV_TRANS | Inventory_Transactions | YES
TRACE_PROFILE | Inventory_Transactions | YES
TRACE_profile | Inventory_Transactions | YES
TRANS_CATEGORY | Receivables | YES
UNITS | Receivables | YES
USER_DEF_FIELDS | Payables | YES
VAT_CATEGORY | Receivables | YES
VENDOR | Payables | YES
VMDI_ACK_CODES | Receivables | YES
WAREHOUSE | Inventory_Transactions | YES
WORK_ORDER | Inventory_Transactions, Payables, Receivables | YES
boe_pay_summary_history | Receivables | NO
completed | Inventory_Transactions | NO
cte_match | Receivables | NO
cte_nomatch_dollar | Receivables | NO
customers | Inventory_Transactions | NO
dbo | Inventory_Transactions, Receivables | NO
for | Inventory_Transactions | NO
inventory | Inventory_Transactions | NO
inventory_trans | Inventory_Transactions | YES
live | Receivables | NO
part | Inventory_Transactions, Payables | YES
purchase | Inventory_Transactions | NO
receivable_line | Receivables | YES
schema | Payables | NO
table | Inventory_Transactions | NO
the | Inventory_Transactions | NO
trace | Inventory_Transactions | YES
trace_inv_trans | Inventory_Transactions | YES
trace_labor_trans | Inventory_Transactions | YES
units | Inventory_Transactions | YES
warehouse | Inventory_Transactions | YES
work_order | Inventory_Transactions | YES
