File,LineNumber,Match,LineText
C:\Users\williamt\source\skillsinc\skills-inc-org\SQL-Projects\Documentation\Data Models\AP_App\AP App Invoices.sql,6,"INVOICE_ID"," S.INVOICE_ID,"
C:\Users\williamt\source\skillsinc\skills-inc-org\SQL-Projects\Documentation\Data Models\AP_App\AP App Invoices.sql,8,"INVOICE_ID","-- R.INVOICE_ID, R.INVOICE_DATE, R.AMOUNT, R.CUSTOMER_ID"
C:\Users\williamt\source\skillsinc\skills-inc-org\SQL-Projects\Documentation\Data Models\AP_App\AP App Invoices.sql,11,"INVOICE_ID","LEFT JOIN dbo.shipper s ON s.INVOICE_ID = R.invoiceNo"
C:\Users\williamt\source\skillsinc\skills-inc-org\SQL-Projects\Documentation\Data Models\AP_App\AP App Invoices.sql,12,"INVOICE_ID","WHERE s.INVOICE_ID IS NULL"
C:\Users\williamt\source\skillsinc\skills-inc-org\SQL-Projects\Documentation\Data Models\ddl\queries\voucher_queries.sql,6,"INVOICE_NO","       p.INVOICE_NO,"
C:\Users\williamt\source\skillsinc\skills-inc-org\SQL-Projects\Documentation\Data Models\ddl\schema-extract\output\LIVE\dbo.CASH_RECEIPT_LINE.sql,6,"INVOICE_ID","    [INVOICE_ID] NVARCHAR(15) DEFAULT  NULL,"
C:\Users\williamt\source\skillsinc\skills-inc-org\SQL-Projects\Documentation\Data Models\ddl\schema-extract\output\LIVE\dbo.CASH_RECEIPT_LINE.sql,13,"INVOICE_ID","    [MEMO_INVOICE_ID] NVARCHAR(15) DEFAULT  NULL,"
C:\Users\williamt\source\skillsinc\skills-inc-org\SQL-Projects\Documentation\Data Models\ddl\schema-extract\output\LIVE\dbo.CUST_LINE_BILLING.sql,18,"INVOICE_ID","    [INVOICE_ID] NVARCHAR(15) DEFAULT  NULL,"
C:\Users\williamt\source\skillsinc\skills-inc-org\SQL-Projects\Documentation\Data Models\ddl\schema-extract\output\LIVE\dbo.EQUIP_BILL_OPTIONS.sql,20,"INVOICE_ID","    [INVOICE_ID] NVARCHAR(15) DEFAULT  NULL,"
C:\Users\williamt\source\skillsinc\skills-inc-org\SQL-Projects\Documentation\Data Models\ddl\schema-extract\output\LIVE\dbo.EQUIP_PM_SCHEDULE.sql,21,"INVOICE_ID","    [INVOICE_ID] NVARCHAR(15) DEFAULT  NULL,"
C:\Users\williamt\source\skillsinc\skills-inc-org\SQL-Projects\Documentation\Data Models\ddl\schema-extract\output\LIVE\dbo.PAYABLE.sql,5,"INVOICE_ID","    [INVOICE_ID] NVARCHAR(20) DEFAULT  NOT NULL,"
C:\Users\williamt\source\skillsinc\skills-inc-org\SQL-Projects\Documentation\Data Models\ddl\schema-extract\output\LIVE\dbo.PAYABLE.sql,46,"INVOICE_ID","    [COMM_INVOICE_ID] NVARCHAR(15) DEFAULT  NULL,"
C:\Users\williamt\source\skillsinc\skills-inc-org\SQL-Projects\Documentation\Data Models\ddl\schema-extract\output\LIVE\dbo.RECEIVABLE_BINARY.sql,3,"INVOICE_ID","    [INVOICE_ID] NVARCHAR(15) DEFAULT  NOT NULL,"
C:\Users\williamt\source\skillsinc\skills-inc-org\SQL-Projects\Documentation\Data Models\ddl\schema-extract\output\LIVE\dbo.RECEIVABLE_BINARY.sql,9,"INVOICE_ID","ALTER TABLE [dbo].[RECEIVABLE_BINARY] ADD CONSTRAINT [PK_RECEIVABLE_BINARY] PRIMARY KEY ([INVOICE_ID], [TYPE]);"
C:\Users\williamt\source\skillsinc\skills-inc-org\SQL-Projects\Documentation\Data Models\ddl\schema-extract\output\LIVE\dbo.RECEIVABLE_BINARY.sql,11,"INVOICE_ID","ALTER TABLE [dbo].[RECEIVABLE_BINARY] ADD CONSTRAINT [FKEY0232] FOREIGN KEY ([INVOICE_ID]) REFERENCES [dbo].[RECEIVABLE]([INVOICE_ID]);"
C:\Users\williamt\source\skillsinc\skills-inc-org\SQL-Projects\Documentation\Data Models\ddl\schema-extract\output\LIVE\dbo.RECEIVABLE_CURR.sql,3,"INVOICE_ID","    [INVOICE_ID] NVARCHAR(15) DEFAULT  NOT NULL,"
C:\Users\williamt\source\skillsinc\skills-inc-org\SQL-Projects\Documentation\Data Models\ddl\schema-extract\output\LIVE\dbo.RECEIVABLE_CURR.sql,10,"INVOICE_ID","ALTER TABLE [dbo].[RECEIVABLE_CURR] ADD CONSTRAINT [PK_RECEIVABLE_CURR] PRIMARY KEY ([INVOICE_ID], [CURRENCY_ID]);"
C:\Users\williamt\source\skillsinc\skills-inc-org\SQL-Projects\Documentation\Data Models\ddl\schema-extract\output\LIVE\dbo.RECEIVABLE_CURR.sql,14,"INVOICE_ID","ALTER TABLE [dbo].[RECEIVABLE_CURR] ADD CONSTRAINT [FKEY9392] FOREIGN KEY ([INVOICE_ID]) REFERENCES [dbo].[RECEIVABLE]([INVOICE_ID]);"
C:\Users\williamt\source\skillsinc\skills-inc-org\SQL-Projects\Documentation\Data Models\ddl\schema-extract\output\LIVE\dbo.RECEIVABLE_DIST.sql,3,"INVOICE_ID","    [INVOICE_ID] NVARCHAR(15) DEFAULT  NOT NULL,"
C:\Users\williamt\source\skillsinc\skills-inc-org\SQL-Projects\Documentation\Data Models\ddl\schema-extract\output\LIVE\dbo.RECEIVABLE_DIST.sql,19,"INVOICE_ID","ALTER TABLE [dbo].[RECEIVABLE_DIST] ADD CONSTRAINT [PK_RECEIVABLE_DIST] PRIMARY KEY ([INVOICE_ID], [DIST_NO], [ENTRY_NO], [CURRENCY_ID]);"
C:\Users\williamt\source\skillsinc\skills-inc-org\SQL-Projects\Documentation\Data Models\ddl\schema-extract\output\LIVE\dbo.RECEIVABLE_DIST.sql,27,"INVOICE_ID","ALTER TABLE [dbo].[RECEIVABLE_DIST] ADD CONSTRAINT [FKEY0233] FOREIGN KEY ([INVOICE_ID]) REFERENCES [dbo].[RECEIVABLE]([INVOICE_ID]);"
C:\Users\williamt\source\skillsinc\skills-inc-org\SQL-Projects\Documentation\Data Models\ddl\schema-extract\output\LIVE\dbo.RECEIVABLE_INST.sql,3,"INVOICE_ID","    [INVOICE_ID] NVARCHAR(15) DEFAULT  NOT NULL,"
C:\Users\williamt\source\skillsinc\skills-inc-org\SQL-Projects\Documentation\Data Models\ddl\schema-extract\output\LIVE\dbo.RECEIVABLE_INST.sql,12,"INVOICE_ID","ALTER TABLE [dbo].[RECEIVABLE_INST] ADD CONSTRAINT [PK_RECEIVABLE_INST] PRIMARY KEY ([INVOICE_ID], [INST_NO]);"
C:\Users\williamt\source\skillsinc\skills-inc-org\SQL-Projects\Documentation\Data Models\ddl\schema-extract\output\LIVE\dbo.RECEIVABLE_INST.sql,14,"INVOICE_ID","ALTER TABLE [dbo].[RECEIVABLE_INST] ADD CONSTRAINT [FK_RECEIVABLE_INST_00] FOREIGN KEY ([INVOICE_ID]) REFERENCES [dbo].[RECEIVABLE]([INVOICE_ID]);"
C:\Users\williamt\source\skillsinc\skills-inc-org\SQL-Projects\Documentation\Data Models\ddl\schema-extract\output\LIVE\dbo.RECEIVABLE_LINE.sql,3,"INVOICE_ID","    [INVOICE_ID] NVARCHAR(15) DEFAULT  NOT NULL,"
C:\Users\williamt\source\skillsinc\skills-inc-org\SQL-Projects\Documentation\Data Models\ddl\schema-extract\output\LIVE\dbo.RECEIVABLE_LINE.sql,26,"INVOICE_ID","    [PREPAY_INVOICE_ID] NVARCHAR(15) DEFAULT  NULL,"
C:\Users\williamt\source\skillsinc\skills-inc-org\SQL-Projects\Documentation\Data Models\ddl\schema-extract\output\LIVE\dbo.RECEIVABLE_LINE.sql,32,"INVOICE_ID","ALTER TABLE [dbo].[RECEIVABLE_LINE] ADD CONSTRAINT [PK_RECEIVABLE_LINE] PRIMARY KEY ([INVOICE_ID], [LINE_NO]);"
C:\Users\williamt\source\skillsinc\skills-inc-org\SQL-Projects\Documentation\Data Models\ddl\schema-extract\output\LIVE\dbo.RECEIVABLE_LINE.sql,34,"INVOICE_ID","ALTER TABLE [dbo].[RECEIVABLE_LINE] ADD CONSTRAINT [FKEY0231] FOREIGN KEY ([INVOICE_ID]) REFERENCES [dbo].[RECEIVABLE]([INVOICE_ID]);"
C:\Users\williamt\source\skillsinc\skills-inc-org\SQL-Projects\Documentation\Data Models\ddl\schema-extract\output\LIVE\dbo.RECEIVABLE_SCHED.sql,3,"INVOICE_ID","    [INVOICE_ID] NVARCHAR(15) DEFAULT  NOT NULL,"
C:\Users\williamt\source\skillsinc\skills-inc-org\SQL-Projects\Documentation\Data Models\ddl\schema-extract\output\LIVE\dbo.RECEIVABLE_SCHED.sql,8,"INVOICE_ID","ALTER TABLE [dbo].[RECEIVABLE_SCHED] ADD CONSTRAINT [PK_RECEIVABLE_SCHED] PRIMARY KEY ([INVOICE_ID], [PROMISE_DATE]);"
C:\Users\williamt\source\skillsinc\skills-inc-org\SQL-Projects\Documentation\Data Models\ddl\schema-extract\output\LIVE\dbo.RECEIVABLE_SHARE.sql,3,"INVOICE_ID","    [INVOICE_ID] NVARCHAR(15) DEFAULT  NOT NULL,"
C:\Users\williamt\source\skillsinc\skills-inc-org\SQL-Projects\Documentation\Data Models\ddl\schema-extract\output\LIVE\dbo.RECEIVABLE_SHARE.sql,8,"INVOICE_ID","ALTER TABLE [dbo].[RECEIVABLE_SHARE] ADD CONSTRAINT [PK_RECEIVABLE_SHARE] PRIMARY KEY ([INVOICE_ID], [SHARE_SALESREP_ID]);"
C:\Users\williamt\source\skillsinc\skills-inc-org\SQL-Projects\Documentation\Data Models\ddl\schema-extract\output\LIVE\dbo.RECEIVABLE_SHARE.sql,10,"INVOICE_ID","ALTER TABLE [dbo].[RECEIVABLE_SHARE] ADD CONSTRAINT [FKEY9589] FOREIGN KEY ([INVOICE_ID]) REFERENCES [dbo].[RECEIVABLE]([INVOICE_ID]);"
C:\Users\williamt\source\skillsinc\skills-inc-org\SQL-Projects\Documentation\Data Models\ddl\schema-extract\output\LIVE\dbo.RECEIVABLE.sql,3,"INVOICE_ID","    [INVOICE_ID] NVARCHAR(15) DEFAULT  NOT NULL,"
C:\Users\williamt\source\skillsinc\skills-inc-org\SQL-Projects\Documentation\Data Models\ddl\schema-extract\output\LIVE\dbo.RECEIVABLE.sql,25,"INVOICE_ID","    [PREPAY_INVOICE_ID] NVARCHAR(15) DEFAULT  NULL,"
C:\Users\williamt\source\skillsinc\skills-inc-org\SQL-Projects\Documentation\Data Models\ddl\schema-extract\output\LIVE\dbo.RECEIVABLE.sql,38,"INVOICE_ID","    [RCR_INVOICE_ID] NVARCHAR(15) DEFAULT  NULL,"
C:\Users\williamt\source\skillsinc\skills-inc-org\SQL-Projects\Documentation\Data Models\ddl\schema-extract\output\LIVE\dbo.RECEIVABLE.sql,45,"INVOICE_ID","    [LAST_PREPAY_INVOICE_ID] NVARCHAR(15) DEFAULT  NULL,"
C:\Users\williamt\source\skillsinc\skills-inc-org\SQL-Projects\Documentation\Data Models\ddl\schema-extract\output\LIVE\dbo.RECEIVABLE.sql,57,"INVOICE_ID","ALTER TABLE [dbo].[RECEIVABLE] ADD CONSTRAINT [PK_RECEIVABLE] PRIMARY KEY ([INVOICE_ID]);"
C:\Users\williamt\source\skillsinc\skills-inc-org\SQL-Projects\Documentation\Data Models\ddl\schema-extract\output\LIVE\dbo.RECEIVER_LINE.sql,11,"INVOICE_ID","    [INVOICE_ID] NVARCHAR(15) DEFAULT  NULL,"
